Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,pagina pequena,26683,1694,1500,6646.576881159458,35.24120899965055,128384.33522500054,79875.56980099689,88.91326358013396,5.644757654864406,1500,1800,2000,2100,2900,60000,63000,70000,128000,128000,128000
,Aggregated,26683,1694,1500,6646.576881159458,35.24120899965055,128384.33522500054,79875.56980099689,88.91326358013396,5.644757654864406,1500,1800,2000,2100,2900,60000,63000,70000,128000,128000,128000
