Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,pagina grande,15809,0,320,374.4863548216188,67.16483399941353,1902.0945420015778,1078664.0,52.67696648211777,0.0,320,380,430,460,580,750,1100,1300,1600,1800,1900
,Aggregated,15809,0,320,374.4863548216188,67.16483399941353,1902.0945420015778,1078664.0,52.67696648211777,0.0,320,380,430,460,580,750,1100,1300,1600,1800,1900
