Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,pagina grande,16367,0,270,306.14176019154155,65.99504100086051,3800.835959998949,1078664.0,54.56690057982431,0.0,270,310,340,370,440,540,760,990,3000,3800,3800
,Aggregated,16367,0,270,306.14176019154155,65.99504100086051,3800.835959998949,1078664.0,54.56690057982431,0.0,270,310,340,370,440,540,760,990,3000,3800,3800
