Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,pagina pequena,1266,0,54,58.45510338231452,35.605417000624584,265.61525000033726,85279.0,6.4350450876378815,0.0,54,61,67,70,77,86,110,190,220,270,270
,Aggregated,1266,0,54,58.45510338231452,35.605417000624584,265.61525000033726,85279.0,6.4350450876378815,0.0,54,61,67,70,77,86,110,190,220,270,270
