Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,pagina media,21104,9864,3500,8971.460391816665,0.3361250001034932,119464.82913799991,279067.5421721001,70.23642886332327,32.82847490086338,3500,7200,9600,11000,23000,46000,68000,81000,116000,119000,119000
,Aggregated,21104,9864,3500,8971.460391816665,0.3361250001034932,119464.82913799991,279067.5421721001,70.23642886332327,32.82847490086338,3500,7200,9600,11000,23000,46000,68000,81000,116000,119000,119000
