Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,pagina media,19688,1878,2100,9803.141132733002,55.42550000063784,128401.0633930011,473385.7921576595,65.49221120045978,6.247174554777706,2100,2500,2900,3300,55000,62000,71000,120000,128000,128000,128000
,Aggregated,19688,1878,2100,9803.141132733002,55.42550000063784,128401.0633930011,473385.7921576595,65.49221120045978,6.247174554777706,2100,2500,2900,3300,55000,62000,71000,120000,128000,128000,128000
